iter	Passed	Remaining
409	4676	1026
410	4684	1014
411	4692	1002
412	4701	990
413	4709	978
414	4717	966
415	4726	954
416	4736	942
417	4747	931
418	4757	919
419	4766	907
420	4776	896
421	4784	884
422	4792	872
423	4801	860
424	4809	848
425	4818	837
426	4826	825
427	4834	813
428	4842	801
429	4850	789
430	4858	777
431	4866	766
432	4875	754
433	4883	742
434	4890	730
435	4899	719
436	4907	707
437	4916	695
438	4924	684
439	4933	672
440	4945	661
441	4955	650
442	4965	638
443	4974	627
444	4982	615
445	4991	604
446	4999	592
447	5008	581
448	5016	569
449	5024	558
450	5033	546
451	5041	535
452	5050	523
453	5058	512
454	5066	501
455	5075	489
456	5083	478
457	5092	466
458	5099	455
459	5108	444
460	5116	432
461	5124	421
462	5134	410
463	5146	399
464	5154	387
465	5163	376
466	5172	365
467	5180	354
468	5188	342
469	5196	331
470	5205	320
471	5213	309
472	5221	298
473	5230	286
474	5238	275
475	5246	264
476	5255	253
477	5264	242
478	5272	231
479	5280	220
480	5288	208
481	5296	197
482	5303	186
483	5312	175
484	5320	164
485	5328	153
486	5339	142
487	5351	131
488	5361	120
489	5371	109
490	5379	98
491	5389	87
492	5398	76
493	5406	65
494	5414	54
495	5422	43
496	5430	32
497	5439	21
498	5447	10
499	5455	0
